"id","DateTime","DateTimeDigitized","DateTimeOriginal","ExifVersion","ExposureBias","FNumber","Flash","FocalLength","GPSAltitude","GPSAltitudeRef","GPSDateStamp","GPSInfo","GPSLatitude","GPSLatitudeRef","GPSLongitude","GPSLongitudeRef","GPSProcessingMethod","GPSTimeStamp","ISO","brightnessValue","compressedBitsPerPixel","contrast","digitalZoomRatio","exposureProgram","exposureTime","focalLengthIn35mmFilm","gPanoCaptureSoftware","gPanoCroppedAreaImageHeightPixels","gPanoCroppedAreaImageWidthPixels","gPanoCroppedAreaLeftPixels","gPanoCroppedAreaTopPixels","gPanoFullPanoHeightPixels","gPanoFullPanoWidthPixels","gPanoLargestValidInteriorRectHeight","gPanoLargestValidInteriorRectLeft","gPanoLargestValidInteriorRectTop","gPanoLargestValidInteriorRectWidth","gPanoNorthPosInX","gPanoProjectionType","gPanoStitchingSoftware","gPanoUsePanoramaViewer","lightSource","make","maxApertureValue","meteringMode","model","pixelXDimension","pixelYDimension","resolutionUnit","saturation","sharpness","whiteBalance","xResolution","yResolution","Orientation"
"16","2014-06-24 19:56:21","2014-06-21 17:21:50","2014-06-21 17:21:50","0220","0","2","0","3.82","0","0","2014-06-21 08:00:00","960","22.546482083333334","N","114.0703201111111","E","ASCII","","125","8.206418","20042032/4085760 (4.905)","0","0","2","0.000338","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","1520","2688","","0","0","0","72","72","0"
"17","2014-06-24 19:56:19","2014-06-21 16:14:56","2014-06-21 16:14:56","0220","0","2","0","3.82","33.799","0","2014-06-21 08:00:00","960","22.542753194444447","N","113.93419644444445","E","ASCII","","125","9.58493","13468632/4085760 (3.296)","0","0","2","0.00013","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"18","2014-06-24 19:56:19","2014-06-21 16:14:43","2014-06-21 16:14:43","0220","0","2","0","3.82","33.799","0","2014-06-21 08:00:00","960","22.542753194444447","N","113.93419644444445","E","ASCII","","125","9.099503","17416576/4085760 (4.263)","0","0","2","0.000182","28","","","","","","","","","","","","","","","","0","HTC","2","255","HTC One","2688","1520","","0","0","0","72","72","0"
"19","2014-06-24 19:56:20","","2014-06-21 16:15:59","0220","","","","","","","2014-06-21 08:00:00","408","22.54275388888889","N","113.93417777777778","E","","","","","","","","","","","","3584","7168","0","0","3584","7168","3584","0","0","7168","","equirectangular","","True","","HTC","","","HTC One","7168","3584","","","","","","","0"
"20","2014-06-24 19:56:22","","2014-06-22 15:07:02","0220","","","","","","","2014-06-22 08:00:00","408","22.626590833333335","N","113.80847194444443","E","","","","","","","","","","","","3584","7168","0","0","3584","7168","3584","0","0","7168","","equirectangular","","True","","HTC","","","HTC One","7168","3584","","","","","","","0"
"21","2014-06-24 19:56:25","","2014-06-22 15:11:33","0220","","","","","","","2014-06-22 08:00:00","408","22.626890833333334","N","113.80861194444444","E","","","","","","","","","","","","3584","7168","0","0","3584","7168","3584","0","0","7168","","equirectangular","","True","","HTC","","","HTC One","7168","3584","","","","","","","0"
"22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7168","3584","","","","","","","0"
"23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7168","3584","","","","","","","0"
"24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7168","3584","","","","","","","0"
"25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7168","3584","","","","","","","0"
"26","2014-06-23 22:58:48","2014-06-23 22:58:48","2014-06-23 22:58:48","0221","","2.8","24","3.85","18.056827820186598","0","","1054","31.283152777777776","N","121.45977777777777","E","","","1000","-1.0197278911564627","","","","2","0.058823529411764705","35","","","","","","","","","","","","","","","","","Apple","","5","iPhone 4","2592","1936","","","","0","72","72","0"
